Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,8T18 *,446.093750,,0.000000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
1,1-0,446.006250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
2,2-0,446.018750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,3-0,446.031250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,4-0,446.043750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,5-0,446.056250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,6-0,446.068750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,7-0,446.081250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,8-0 !,446.093750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,9-0,446.106250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,10-0,446.118750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,11-0,446.131250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,12-0,446.143750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,13-0,446.156250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,14-0,446.168750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,15-0,446.181250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
16,16-0,446.193750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
17,1-1,446.006250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
18,1-2CHAS,446.006250,,0.000000,TSQL,71.9,71.9,023,NN,NFM,5.00,,,,,,
19,1-9ROUT,446.006250,,0.000000,TSQL,91.5,91.5,023,NN,NFM,5.00,,,,,,
20,1-12URG,446.006250,,0.000000,TSQL,100.0,100.0,023,NN,NFM,5.00,,,,,,
21,2-2,446.018750,,0.000000,TSQL,71.9,71.9,023,NN,NFM,5.00,,,,,,
22,2-8CAMC,446.018750,,0.000000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
23,3-3SR1,446.031250,,0.000000,TSQL,74.4,74.4,023,NN,NFM,5.00,,,,,,
24,3-13SR2,446.031250,,0.000000,TSQL,103.5,103.5,023,NN,NFM,5.00,,,,,,
25,3-23SR3,446.031250,,0.000000,TSQL,146.2,146.2,023,NN,NFM,5.00,,,,,,
26,3-33SR!,446.031250,,0.000000,TSQL,210.7,210.7,023,NN,NFM,5.00,,,,,,
27,4-4 4X4,446.043750,,0.000000,TSQL,77.0,77.0,023,NN,NFM,5.00,,,,,,
28,4-14DRO,446.043750,,0.000000,TSQL,107.2,107.2,023,NN,NFM,5.00,,,,,,
29,5-5SCOU,446.056250,,0.000000,TSQL,79.7,79.7,023,NN,NFM,5.00,,,,,,
30,6-6 R1,446.068750,,0.000000,TSQL,82.5,82.5,023,NN,NFM,5.00,,,,,,
31,6-16R2,446.068750,,0.000000,TSQL,114.8,114.8,023,NN,NFM,5.00,,,,,,
32,6-26R3,446.068750,,0.000000,TSQL,162.2,162.2,023,NN,NFM,5.00,,,,,,
